id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,www_2,tipoUniEco,latitud,longitud,fecha_alta,MAPS,IMAGEN 
7744428,09015722412004421000000000U7,ALITAS,,722412,Bares,0 a 5 personas,CALLE,MATAMOROS,CALLE,JESUS CARRANZA,CALLE,TENOCHTITLAN,CALLE,FRAY BARTOLOM… DE LAS CASAS,149,,,,,,COLONIA,MORELOS,,,,6200,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,343,8,,,,http://,Fijo,19.44700143,-99.12924783,2019-11,"https://www.google.com/maps/@19.44700143,-99.12924783,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.44700143,-99.12924783!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.44700143%2C-99.12924783&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8197919,09007722412000961000000000U3,ALITAS ARANZA,,722412,Bares,0 a 5 personas,CALLE,MILTENCO,CALLE,REFORMA CONSTITUCION MEXICANA,CALLE,REFORMA OBRERA,CALLE,MELCHOR OCAMPO,2,,,,0,,COLONIA,REFORMA POLITICA,,,,9730,9,CIUDAD DE M…XICO,7,IZTAPALAPA,1,Iztapalapa,2899,11,,,,http://,Fijo,19.33614165,-99.03356179,2019-11,"https://www.google.com/maps/@19.33614165,-99.03356179,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.33614165,-99.03356179!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.33614165%2C-99.03356179&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
700184,09017461130034951010000000U6,ALITAS SIN NOMBRE,,722412,Bares,0 a 5 personas,CALLE,GENERAL ANAYA,CALLE,SANTA ESCUELA,CALLE,ROSARIO,CALLE,CERRADA ROSARIO,,SN,MERCADO PUBLICO,PLANTA BAJA,1283,,COLONIA,CENTRO,MERCADO PUBLICO,MERCADO MERCED NAVE MAYOR,1283 Y 1284,15810,9,CIUDAD DE M…XICO,17,VENUSTIANO CARRANZA,1,Venustiano Carranza,687,2,5614129864,,,http://,Fijo,19.42800364,-99.12334063,2010-07,"https://www.google.com/maps/@19.42800364,-99.12334063,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.42800364,-99.12334063!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.42800364%2C-99.12334063&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
9094849,09012722412001051000000000S2,ALITAS TANOS,,722412,Bares,0 a 5 personas,CALLE,RIO SAN BUENAVENTURA,CALLE,LAZARO CARDENAS,CALLE,AZALEA,CALLE,OJO DE AGUA,16,MZ28 LT16,,,,,COLONIA,EJIDOS DE SAN PEDRO MARTIR,,,,14640,9,CIUDAD DE M…XICO,12,TLALPAN,1,Tlalpan,2136,13,,,,http://,Fijo,19.26964919,-99.15789772,2019-11,"https://www.google.com/maps/@19.26964919,-99.15789772,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.26964919,-99.15789772!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.26964919%2C-99.15789772&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
7613652,09011722412000342000000000U8,ALITAS Y SNAKS LA ENVIDIOSA,,722412,Bares,6 a 10 personas,CALLE,MAR DE LAS LLUVIAS,CALLE,VALLE ALPINO,CALLE,MONTES CAUCASO,CALLE,LAGO DE LOS SUE—OS,,SN,,,,,COLONIA,SELENE,,,,13420,9,CIUDAD DE M…XICO,11,TL¡HUAC,1,Tl·huac,170,26,,,,http://,Fijo,19.29041419,-99.00291902,2019-11,"https://www.google.com/maps/@19.29041419,-99.00291902,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.29041419,-99.00291902!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.29041419%2C-99.00291902&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
7715084,09005722412000781000000000U9,ALITASY COSTILLAS SIN NOMBRE,,722412,Bares,0 a 5 personas,AVENIDA,VICTORIA ORIENTE,CALLE,ONIQUINA,CALLE,GRANITO,CALLE,TESORO,3038,,,,,,COLONIA,TRES ESTRELLAS,,,,7820,9,CIUDAD DE M…XICO,5,GUSTAVO A. MADERO,1,Gustavo A. Madero,1839,3,,,,http://,Fijo,19.46978612,-99.11132903,2019-11,"https://www.google.com/maps/@19.46978612,-99.11132903,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.46978612,-99.11132903!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.46978612%2C-99.11132903&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8138244,09007722412001311000000000U0,ALZONA 19 PULQUES,,722412,Bares,0 a 5 personas,CALLE,TABASCO,CALLE,MAZATLAN,CALLE,JESUS MORALES,CALLE,FELIPE CARRILLO PUERTO,33,,,,0,,COLONIA,PUEBLO SAN SEBASTIAN TECOLOXTITLAN,,,,9520,9,CIUDAD DE M…XICO,7,IZTAPALAPA,1,Iztapalapa,2530,6,,,,http://,Fijo,19.35919441,-99.01807214,2019-11,"https://www.google.com/maps/@19.35919441,-99.01807214,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.35919441,-99.01807214!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.35919441%2C-99.01807214&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8386467,09015722412004891000000000U1,ANTOJERIA MI GALLO,,722412,Bares,0 a 5 personas,CALLE,GUAYMAS,CALLE,PUEBLA,AVENIDA,CHAPULTEPEC,EJE VIAL,1 PONIENTE (AVENIDA CUAUHT…MOC),6,,,,0,SN,COLONIA,ROMA NORTE,,,,6700,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,1017,24,,,,http://,Fijo,19.42494247,-99.15506813,2019-11,"https://www.google.com/maps/@19.42494247,-99.15506813,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.42494247,-99.15506813!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.42494247%2C-99.15506813&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
815310,09007434211003161010000000U2,ANTOJITOS,,722412,Bares,0 a 5 personas,CALLE,LUNA,CALLE,HUECAMPOOL (GALAXIA),CERRADA,CERRADA DE LUNA (PINO),CALLE,FLORES,,SN,,,,,COLONIA,LOMAS DE LA ESTANCIA,,,,9640,9,CIUDAD DE M…XICO,7,IZTAPALAPA,1,Iztapalapa,5338,43,,,,http://,Fijo,19.33657667,-99.01023814,2014-12,"https://www.google.com/maps/@19.33657667,-99.01023814,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.33657667,-99.01023814!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.33657667%2C-99.01023814&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
7717451,09003722412000671000000000U7,ANTOJITOS MEXICANOS,,722412,Bares,0 a 5 personas,CALLE,DALIAS,AVENIDA,ANTONIO DELFIN MADRIGAL,CALLE,PASO DE CU,CALLE,ANACAHUITA,87,,,,,,COLONIA,PEDREGAL DE SANTO DOMINGO,,,,4369,9,CIUDAD DE M…XICO,3,COYOAC¡N,1,Coyoac·n,785,27,,,,http://,Fijo,19.32574896,-99.17333863,2019-11,"https://www.google.com/maps/@19.32574896,-99.17333863,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.32574896,-99.17333863!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.32574896%2C-99.17333863&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
9196530,09007722412001411000000000U8,ANTOJITOS Y COKTELERIA,,722412,Bares,0 a 5 personas,CALLE,FRESNO,AVENIDA,CAMINO A LAS MINAS,AVENIDA,CARLOS HANK GONZALEZ,CALLE,CHOPO,20,MZ1,,,,,AMPLIACION,SANTIAGO ACAHUALTEPETH,,,,9609,9,CIUDAD DE M…XICO,7,IZTAPALAPA,1,Iztapalapa,2780,29,,,,http://,Fijo,19.34499477,-99.00982658,2019-11,"https://www.google.com/maps/@19.34499477,-99.00982658,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.34499477,-99.00982658!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.34499477%2C-99.00982658&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8337596,09015722412003872000000000U2,ANTRO- BAR  LA J,,722412,Bares,6 a 10 personas,CALLE,ALLENDE,CALLE,DONCELES,CALLE,REPUBLICA DE CUBA,CALLE,REP⁄BLICA DE CHILE,39,L 8Y9,,,,,COLONIA,CENTRO (AREA 1),,,,6010,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,752,10,,,,http://,Fijo,19.43707112,-99.1377635,2019-11,"https://www.google.com/maps/@19.43707112,-99.1377635,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.43707112,-99.1377635!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.43707112%2C-99.1377635&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
643194,09002722219010312001000000U7,ANTRO Y DISCOTEQUE LATÕN DISCO EL GUARDI¡N DE TEZOZOMOC,,722411,Centros nocturnos,6 a 10 personas,AVENIDA,TEZOZOMOC,CALLE,RAFAEL BUELNA,CALLE,XILANCAS,CALLE,XANAMBRES,,SN,,,,,COLONIA,TEZOZOMOC,,,,2459,9,CIUDAD DE M…XICO,2,AZCAPOTZALCO,1,Azcapotzalco,275,14,5559594674,,,http://,Fijo,19.48774341,-99.1957144,2010-07,"https://www.google.com/maps/@19.48774341,-99.1957144,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.48774341,-99.1957144!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.48774341%2C-99.1957144&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
867032,09015722412000131001000000U6,ANTULL,,722412,Bares,6 a 10 personas,CALLE,ATLIXCO,CALLE,ALFONSO REYES,AVENIDA,CAMPECHE,AVENIDA,TAMAULIPAS,168,B,,,,,COLONIA,HIPODROMO CONDESA,,,,6170,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,1318,13,,,,http://,Fijo,19.40882908,-99.17659359,2010-07,"https://www.google.com/maps/@19.40882908,-99.17659359,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.40882908,-99.17659359!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.40882908%2C-99.17659359&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
6430469,09007722412000181000013888S8,APOYO ECONOMICO FAMILIAR S.A. DE C.V.,"APOYO ECONOMICO FAMILIAR S.A.B. DE C.V., SOFOM, E.N.R.",722412,Bares,0 a 5 personas,,TLAHUAC,,LIBRES,,COYOMEAPAN,,EVERARDO GAMIZ,1628,A,,,,,OTRO (ESPECIFIQUE),LOMAS DE SAN LORENZO,,,,,9,CIUDAD DE M…XICO,7,IZTAPALAPA,1,Iztapalapa,198A,18,,,,http://,Fijo,19.31614404,-99.07266363,2010-07,"https://www.google.com/maps/@19.31614404,-99.07266363,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.31614404,-99.07266363!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.31614404%2C-99.07266363&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
895164,09015722412003442001000000U4,ARTEMISA,OH-LA-LA RCGP SA DE CV,722412,Bares,11 a 30 personas,CALLE,TONALA,AVENIDA,INSURGENTES SUR,CALLE,DURANGO,AVENIDA,INSURGENTES SUR,23,,EDIFICIO SIN NOMBRE,PISO 2,,,COLONIA,ROMA NORTE,,,,6700,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,1002,17,,ARTEMISA@GMAIL.COM,,http://,Fijo,19.42071303,-99.16336235,2014-12,"https://www.google.com/maps/@19.42071303,-99.16336235,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.42071303,-99.16336235!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.42071303%2C-99.16336235&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
7733518,09015722412004131000000000U2,ARTESANAL MEXICANO LA FUNDIDORA,,722412,Bares,0 a 5 personas,CALLE,JUAN HERNANDEZ Y DAVALOS,CALLE,ORIENTE 67,CALLE,VENTURA G. TENA,CALLE,VENTURA G. TENA,293,,,,,,COLONIA,ASTURIAS,,,,6850,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,1515,3,,LEONMARTINEZ091@GMAIL.COM,,http://,Fijo,19.40513273,-99.1302458,2019-11,"https://www.google.com/maps/@19.40513273,-99.1302458,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.40513273,-99.1302458!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.40513273%2C-99.1302458&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
6751661,09015722412003662001000000U7,ARTIC BAR,GLASTSIES VINUM C&C SA DE CV,722412,Bares,11 a 30 personas,AVENIDA,NUEVO LEON,CALLE,CADEREYTA,EJE VIAL,2 SUR (JUAN ESCUTIA),AVENIDA,TAMAULIPAS,73,,EDIFICIO SIN NOMBRE,PISO 2,,,COLONIA,HIPODROMO,,,,6100,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,1322,10,,,,http://,Fijo,19.41282707,-99.17190686,2016-10,"https://www.google.com/maps/@19.41282707,-99.17190686,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.41282707,-99.17190686!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.41282707%2C-99.17190686&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8529929,09014722412000973000000000U4,ATARDECER RANCHERO,,722412,Bares,11 a 30 personas,CALLE,CASA DEL OBRERO MUNDIAL,CALLE,CASAS GRANDES,EJE VIAL,CENTRAL (LAZARO CARDENAS),CALLE,ANTENOR SALA,714,,,,,,COLONIA,ANTENOR SALA,,,,3010,9,CIUDAD DE M…XICO,14,BENITO JU¡REZ,1,Benito Ju·rez,26,20,67981652,AMANECERTAPATIO99@GMAIL.COM,,http://,Fijo,19.40239454,-99.14553657,2019-11,"https://www.google.com/maps/@19.40239454,-99.14553657,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.40239454,-99.14553657!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.40239454%2C-99.14553657&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
1013460,09015722412001001000000000U0,AZ DE OROS,,722412,Bares,0 a 5 personas,CALLE,ARISTA,CALLE,MINA,CALLE,VIOLETA,CALLE,ZARAGOZA,195,,,,0,,COLONIA,BUENAVISTA,,,,6350,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,610,5,,,,http://,Fijo,19.44093139,-99.15065601,2010-07,"https://www.google.com/maps/@19.44093139,-99.15065601,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.44093139,-99.15065601!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.44093139%2C-99.15065601&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
8529880,09014722412000961000000000U9,B.WING,,722412,Bares,0 a 5 personas,CALZADA,CALZADA DE TLALPAN,CALLE,SUIZA,EJE VIAL,7 SUR (MUNICIPIO LIBRE),CALLE,MIRAFLORES,1344,C,,,,,COLONIA,PORTALES ORIENTE,,,,3570,9,CIUDAD DE M…XICO,14,BENITO JU¡REZ,1,Benito Ju·rez,878,19,,,,http://,Fijo,19.36814663,-99.14160141,2019-11,"https://www.google.com/maps/@19.36814663,-99.14160141,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.36814663,-99.14160141!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.36814663%2C-99.14160141&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
1028982,09015722411000353000000000U8,BABIANA,ABD DE LA CD SA DE CV,722411,Centros nocturnos,11 a 30 personas,EJE VIAL,2 PONIENTE (FLORENCIA),CALLE,LIVERPOOL,CALLE,LONDRES,CALLE,AMBERES,56,C,,,,,COLONIA,JUAREZ,,,,6600,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,095A,6,5552076934,JVOPRIMERO@HOTMAIL.COM,WWW.BABIANACLUBLESS.COM,http://WWW.BABIANACLUBLESS.COM,Fijo,19.42419804,-99.16610978,2010-07,"https://www.google.com/maps/@19.42419804,-99.16610978,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.42419804,-99.16610978!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.42419804%2C-99.16610978&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
892022,09015722412003341000000000U8,BALAGAN,,722412,Bares,0 a 5 personas,PEATONAL,SAN JERONIMO,CALLE,5 DE FEBRERO,CALLE,ISABEL LA CATOLICA,CALLE,REGINA,56,A,,,,,COLONIA,CENTRO (¡REA 9),,,,6090,9,CIUDAD DE M…XICO,15,CUAUHT…MOC,1,CuauhtÈmoc,894,4,,,,http://,Fijo,19.42701254,-99.13628914,2014-12,"https://www.google.com/maps/@19.42701254,-99.13628914,3a,75y,114.26h,90t/data=!3m4!1e1!3m2!1s19.42701254,-99.13628914!2e0",https://maps.googleapis.com/maps/api/streetview?location=19.42701254%2C-99.13628914&size=640x480&key=AIzaSyBcWWAEbPntuZ0-L42MLY-CRMTPCJ5IqzQ
